,name,name_eng,noon,night,stations,noon_percentile,night_percentile
0,강동구,Gangdong-gu,260045.98669021463,295823.71497829544,285.0,912.4420585621566,1037.9779472922646
1,송파구,Songpa-gu,469660.4217292298,471872.3002786364,540.0,869.741521720796,873.8375931085859
2,강남구,Gangnam-gu,664934.5190790404,465326.9255693183,660.0,1007.476544059152,705.0407963171489
3,서초구,Seocho-gu,450708.84694902145,342209.4236128031,751.0,600.1449360173389,455.67166925806004
4,관악구,Gwanak-gu,278161.474542298,336942.0934919507,254.0,1095.1239155208582,1326.5436751651603
5,동작구,Dongjak-gu,223512.35278749999,257178.35933193183,307.0,728.0532664087947,837.7145255111786
6,영등포구,Yeongdeungpo-gu,359691.29356657196,288125.14591494313,421.0,854.3736189229737,684.3827693941643
7,금천구,Geumcheon-gu,165505.49327623105,139008.25791304925,365.0,453.43970760611245,380.8445422275322
8,구로구,Guro-gu,245558.02747354796,247917.42553577654,495.0,496.07682317888475,500.8432839106597
9,강서구,Gangseo-gu,315460.6672533144,343064.18292943184,609.0,517.997811581797,563.32378149332
10,양천구,Yangcheon-gu,205671.0553622475,237640.73836814394,441.0,466.3742751978402,538.8678874561087
11,마포구,Mapo-gu,320858.94801256317,296109.04685318185,449.0,714.6079020324347,659.4856277353716
12,서대문구,Seodaemun-gu,233732.40565123103,222290.1150944697,269.0,868.8937013056916,826.3573051839022
13,은평구,Eunpyeong-gu,219420.55995656567,271271.55080149625,354.0,619.8320902727844,766.3038158234358
14,노원구,Nowon-gu,263608.3386864583,306541.47909179924,406.0,649.2816223804392,755.0282736251213
15,도봉구,Dobong-gu,142342.89839453914,169133.76726732953,234.0,608.3029845920476,722.7938772108099
16,강북구,Gangbuk-gu,151471.62568162882,179337.62123954546,152.0,996.5238531686107,1179.8527713127992
17,성북구,Seongbuk-gu,224584.2078267361,253082.82012649617,460.0,488.2265387537741,550.1800437532526
18,중랑구,Jungnang-gu,189196.01231480428,225969.49981039768,340.0,556.4588597494244,664.6161759129344
19,동대문구,Dongdaemun-gu,212205.68047796717,216309.46493011358,371.0,571.98296624789,583.0443798655352
20,광진구,Gwangjin-gu,220378.27520353533,245415.26214518936,170.0,1296.3427953149137,1443.6191890893492
21,성동구,Seongdong-gu,224501.54587146465,215813.10213840907,501.0,448.1068779869554,430.76467492696423
22,용산구,Yongsan-gu,214198.6892987374,183020.0391193182,339.0,631.8545407042401,539.8821212959239
23,중구,Jung-gu,294966.8847753472,155151.70840107955,292.0,1010.1605642991342,531.3414671269848
24,종로구,Jongno-gu,260807.42549577018,162577.50828304925,196.0,1330.65013008046,829.4770830767819
