,구간,연장(km),차로수,계,year
17,북대구IC-금호JCT,5.5,8,144977,2026
43,금토JCT-양재IC,6.8,10,181871,2026
44,강일IC-토평IC,1.3,8,140100,2026
45,안현JCT-도리JCT,4.8,8,142884,2026
46,산본IC-평촌IC,4.1,8,136274,2026
48,별내IC-의정부IC,8.0,8,141331,2026
49,송추IC-통일로IC,2.4851851851851947,8,148438,2026
50,통일로IC-고양IC,6.0,8,147078,2026
54,북수원IC-동수원IC,6.1,8,143044,2026
55,동수원IC-신갈JCT,4.9,8,139741,2026
42,천안JCT-천안IC,6.7,8,148557,2025
43,북천안IC-안성IC,10.488888888888894,8,157440,2025
47,일산IC-자유로JCT,2.2,10,189032,2025
48,장수IC-시흥IC,4.2,8,155771,2025
49,시흥IC-안현JCT,2.7,8,152620,2025
51,조남JCT-산본IC,5.3,8,154501,2025
53,평촌IC-학의JCT,2.9,8,153431,2025
56,호원IC-송추IC,6.5,8,154385,2025
57,송추IC-통일로IC,8.9,8,148438,2025
43,북천안IC-안성IC,11.8,8,157440,2024
44,안성JCT-오산IC,13.3,8,166623,2024
45,동탄JCT-기흥IC,5.1,8,159599,2024
46,수원신갈IC-신갈JCT,2.7,10,197800,2024
50,남양주IC-구리IC,1.9675925925925979,8,166752,2024
51,구리IC-퇴계원IC,2.8,8,161442,2024
56,도리JCT-조남JCT,4.4,8,162491,2024
60,학의JCT-판교JCT,8.8,8,158708,2024
66,고양IC-일산IC,3.3,8,161999,2024
70,안산JCT-둔대JCT,4.8,6,122552,2024
43,천안IC-북천안IC,8.2,8,180070,2023
45,안성IC-안성JCT,4.8,8,188440,2023
47,오산IC-동탄JCT,3.9,8,169972,2023
52,성남IC-송파IC,5.3,8,175490,2023
53,서하남IC-하남JCT,5.0,8,174832,2023
55,토평IC-남양주IC,2.4,8,188115,2023
56,남양주IC-구리IC,2.0,8,166752,2023
59,김포IC-노오지JCT,2.246296296296298,8,189513,2023
60,노오지JCT-계양IC,3.0,8,170514,2023
71,의정부IC-호원IC,1.6,8,166803,2023
76,서창JCT-월곶JCT,5.9,6,137297,2023
79,서안산IC-안산IC,3.3,6,128843,2023
82,둔대JCT-군포IC,1.7,6,130577,2023
83,군포IC-동군포IC,1.6,6,135445,2023
84,부곡IC-북수원IC,2.8,6,137744,2023
49,기흥IC-수원신갈IC,5.1,8,211996,2022
51,신갈JCT-판교JCT,13.1,8,201226,2022
54,판교JCT-성남IC,4.2,8,209014,2022
56,송파IC-서하남IC,5.0,8,202516,2022
58,하남JCT-상일IC,2.6,8,223519,2022
59,상일IC-강일IC,3.0,8,239881,2022
65,자유로JCT-김포IC,3.1,8,201740,2022
66,김포IC-노오지JCT,3.8,8,189513,2022
68,계양IC-서운JCT,2.3,8,212076,2022
69,서운JCT-중동IC,2.1,8,253490,2022
70,중동IC-송내IC,2.0,8,211004,2022
71,송내IC-장수IC,2.4,8,230823,2022
95,동군포IC-부곡IC,2.0,6,167272,2022
